"WQP.characteristic","ATTAINS.parameter"
"1,1,1,2-Tetrachloroethane","1,1,1,2-TETRACHLOROETHANE"
"1,1,1-Trichloroethane","1,1,1-TRICHLOROETHANE"
"1,1,2,2-Tetrachloroethane","1,1,2,2-TETRACHLOROETHANE"
"1,1,2-Trichloroethane","1,1,2-TRICHLOROETHANE"
"1,1-Dichloroethane","1,1-DICHLOROETHANE"
"1,1-Dichloroethylene","1,1-DICHLOROETHYLENE"
"1,1-Dichloropropene","1,1-DICHLOROPROPENE"
"1,2,3,4-Tetrachlorobenzene","1,2,3,4-TETRACHLOROBENZENE"
"1,2,3-Trichlorobenzene","1,2,3-TRICHLOROBENZENE"
"1,2,3-Trichloropropane","1,2,3-TRICHLOROPROPANE"
"1,2,4,5-Tetrachlorobenzene","1,2,4,5-TETRACHLOROBENZENE"
"1,2,4-Trichlorobenzene","1,2,4-TRICHLOROBENZENE"
"1,2,4-Trimethylbenzene","1,2,4-TRIMETHYLBENZENE"
"1,2-Dibromo-3-chloropropane","1,2-DIBROMO-3-CHLOROPROPANE"
"1,2-Dichloroethane","1,2-DICHLOROETHANE"
"1,2-Dichloroethylene","1,2-DICHLOROETHYLENE"
"1,2-Dichloropropane","1,2-DICHLOROPROPANE"
"1,2-Diphenylhydrazine","1,2-DIPHENYLHYDRAZINE"
"1,3,5-Trimethylbenzene","1,3,5-TRIMETHYLBENZENE"
"1,3-Butadiene","1,3-BUTADIENE"
"1,3-Dichlorobenzene","1,3-DICHLOROBENZENE"
"1,3-Dichloropropane","1,3-DICHLOROPROPANE"
"1,3-Dichloropropene","1,3-DICHLOROPROPENE"
"1,4-Dioxane","1,4-DIOXANE"
"1,6,7-Trimethylnaphthalene","1,6,7-TRIMETHYLNAPHTHALENE"
"1-Methylnaphthalene","1-METHYLNAPHTHALENE"
"1-Methylphenanthrene","1-METHYLPHENANTHRENE"
"2,2-Dichloropropane","2,2-DICHLOROPROPANE"
"2,3,4,6-Tetrachlorophenol","2,3,4,6-TETRACHLOROPHENOL"
"2,3,5,6-Tetrachlorophenol","2,3,5,6-TETRACHLOROPHENOL"
"2,3,7,8-Tetrachlorodibenzofuran","2,3,7,8-TETRACHLORODIBENZOFURAN"
"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
"2,3-Dichloropropene","2,3-DICHLOROPROPENE"
"2,4,5-Trichlorophenol","2,4,5-TRICHLOROPHENOL"
"2,4,6-Trichlorophenol","2,4,6-TRICHLOROPHENOL"
"2,4-Dichlorophenol","2,4-DICHLOROPHENOL"
"2,4-Dimethylphenol","2,4-DIMETHYLPHENOL"
"2,4-Dinitrophenol","2,4-DINITROPHENOL"
"2,4-Dinitrotoluene","2,4-DINITROTOLUENE"
"2,5-Dichlorophenol","2,5-DICHLOROPHENOL"
"2,6-Diethylaniline","2,6-DIETHYLANILINE"
"2,6-Dimethylnaphthalene","2,6-DIMETHYLNAPHTHALENE"
"2,6-Dinitrotoluene","2,6-DINITROTOLUENE"
"2-Acetylaminofluorene","2-ACETYLAMINOFLUORENE"
"2-Chloro-4,6-diamino-s-triazine","2-CHLORO-4,6-DIAMINO-S-TRIAZINE"
"2-Chloro-4-isopropylamino-6-amino-s-triazine","2-CHLORO-4-ISOPROPYLAMINO-6-AMINO-S-TRIAZINE"
"2-Chloroethyl vinyl ether","2-CHLOROETHYL VINYL ETHER"
"2-Chloronaphthalene","2-CHLORONAPHTHALENE"
"2-Choro-6-ethylamino-4-amino-s-triazine","2-CHORO-6-ETHYLAMINO-4-AMINO-S-TRIAZINE"
"2-Ethoxyethanol","2-ETHOXYETHANOL"
"2-Hexanone","2-HEXANONE"
"2-Hydroxyatrazine","2-HYDROXYATRAZINE"
"2-Methylnaphthalene","2-METHYLNAPHTHALENE"
"2-Methylpyridine","2-METHYLPYRIDINE"
"3,3'-Dichlorobenzidine","3,3'-DICHLOROBENZIDINE"
"3,3'-Dimethoxybenzidine","3,3'-DIMETHOXYBENZIDINE"
"3,3'-Dimethylbenzidine","3,3'-DIMETHYLBENZIDINE"
"3,4-Dichlorophenol","3,4-DICHLOROPHENOL"
"3-Hydroxycarbofuran","3-HYDROXYCARBOFURAN"
"3-Ketocarbofuran","3-KETOCARBOFURAN"
"4,4'-Isopropylidenediphenol","4,4'-ISOPROPYLIDENEDIPHENOL"
"4,6-Dinitro-o-cresol","4,6-DINITRO-O-CRESOL"
"4-Aminobiphenyl","4-AMINOBIPHENYL"
"4-Dimethylaminoazobenzene","4-DIMETHYLAMINOAZOBENZENE"
"Abamectin","ABAMECTIN"
"Acenaphthene","ACENAPHTHENE"
"Acenaphthylene","ACENAPHTHYLENE"
"Acetaldehyde","ACETALDEHYDE"
"Acetaminophen","ACETAMINOPHEN"
"Acetamiprid","ACETAMIPRID"
"Acetochlor","ACETOCHLOR"
"Acetone","ACETONE"
"Acetonitrile","ACETONITRILE"
"Acibenzolar-S-methyl","ACIBENZOLAR-S-METHYL"
"Acifluorfen","ACIFLUORFEN"
"Acrolein","ACROLEIN"
"Acrylamide","ACRYLAMIDE"
"Acrylonitrile","ACRYLONITRILE"
"Alachlor","ALACHLOR"
"Alachlor OA","ALACHLOR OA"
"Aldicarb","ALDICARB"
"Aldicarb sulfone","ALDICARB SULFONE"
"Aldicarb sulfoxide","ALDICARB SULFOXIDE"
"Aldrin","ALDRIN"
"Alkalinity","ALKALINITY"
"Allethrin","ALLETHRIN"
"Allyl chloride","ALLYL CHLORIDE"
".alpha.-Chlordene",".ALPHA.-CHLORDENE"
"Aluminum","ALUMINUM"
"Ametryn","AMETRYN"
"Aminomethylphosphonic acid","AMINOMETHYLPHOSPHONIC ACID"
"Aminomethylphosphonic Acid","AMINOMETHYLPHOSPHONIC ACID"
"Amitrole","AMITROLE"
"Ammonia","AMMONIA"
"Ammonia-nitrogen","AMMONIA-NITROGEN"
"Ammonium","AMMONIUM"
"Aniline","ANILINE"
"Anthracene","ANTHRACENE"
"Antimony","ANTIMONY"
"Arsenic","ARSENIC"
"Arsenic, Inorganic","ARSENIC, INORGANIC"
"Asbestos","ASBESTOS"
"Atraton","ATRATON"
"Atrazine","ATRAZINE"
"Azinphos-ethyl","AZINPHOS-ETHYL"
"Azoxystrobin","AZOXYSTROBIN"
"Barium","BARIUM"
"Bendiocarb","BENDIOCARB"
"Benfluralin","BENFLURALIN"
"Benomyl","BENOMYL"
"Bensulfuron-methyl","BENSULFURON-METHYL"
"Bensulide","BENSULIDE"
"Bentazon","BENTAZON"
"Benz[a]anthracene","BENZ[A]ANTHRACENE"
"Benzene","BENZENE"
"Benzidine","BENZIDINE"
"Benzo[a]pyrene","BENZO[A]PYRENE"
"Benzobicyclon","BENZOBICYCLON"
"Benzoic acid","BENZOIC ACID"
"Benzo[k]fluoranthene","BENZO[K]FLUORANTHENE"
"Benzyl alcohol","BENZYL ALCOHOL"
"Benzyl chloride","BENZYL CHLORIDE"
"Beryllium","BERYLLIUM"
"Bicarbonate","BICARBONATE"
"Bifenthrin","BIFENTHRIN"
"Biphenyl","BIPHENYL"
"Bis(2-chloroethoxy)methane","BIS(2-CHLOROETHOXY)METHANE"
"Bis(2-chloroisopropyl) ether","BIS(2-CHLOROISOPROPYL) ETHER"
"Bismuth","BISMUTH"
"Boron","BORON"
"Boscalid","BOSCALID"
"Bromacil","BROMACIL"
"Bromide","BROMIDE"
"Bromobenzene","BROMOBENZENE"
"Bromochloromethane","BROMOCHLOROMETHANE"
"Bromoxynil","BROMOXYNIL"
"Butylate","BUTYLATE"
"Butylbenzene","BUTYLBENZENE"
"Butyl benzyl phthalate","BUTYL BENZYL PHTHALATE"
"Butyraldehyde","BUTYRALDEHYDE"
"Cadmium","CADMIUM"
"Caffeine","CAFFEINE"
"Calcium","CALCIUM"
"Calcium carbonate","CALCIUM CARBONATE"
"Captan","CAPTAN"
"Carbaryl","CARBARYL"
"Carbazole","CARBAZOLE"
"Carbendazim","CARBENDAZIM"
"Carbofuran","CARBOFURAN"
"Carbon","CARBON"
"Carbon-13/Carbon-12 ratio","CARBON-13/CARBON-12 RATIO"
"Carbon-14","CARBON-14"
"Carbonate","CARBONATE"
"Carbon disulfide","CARBON DISULFIDE"
"Carbon tetrachloride","CARBON TETRACHLORIDE"
"Carbophenothion","CARBOPHENOTHION"
"Cerium","CERIUM"
"Cesium","CESIUM"
"CFC-113","CFC-113"
"Chloramben","CHLORAMBEN"
"Chloramben-methyl","CHLORAMBEN-METHYL"
"Chlorantraniliprole","CHLORANTRANILIPROLE"
"Chlordane","CHLORDANE"
"Chlorfenapyr","CHLORFENAPYR"
"Chlorfenvinphos","CHLORFENVINPHOS"
"Chloride","CHLORIDE"
"Chlorine","CHLORINE"
"Chlorine dioxide","CHLORINE DIOXIDE"
"Chloroacetic acid","CHLOROACETIC ACID"
"Chlorobenzilate","CHLOROBENZILATE"
"Chlorodibromomethane","CHLORODIBROMOMETHANE"
"Chloroethane","CHLOROETHANE"
"Chloroform","CHLOROFORM"
"Chloromethane","CHLOROMETHANE"
"Chloromethyl methyl ether","CHLOROMETHYL METHYL ETHER"
"Chloropicrin","CHLOROPICRIN"
"Chloroprene","CHLOROPRENE"
"Chlorothalonil","CHLOROTHALONIL"
"Chlorpyrifos","CHLORPYRIFOS"
"Chlorsulfuron","CHLORSULFURON"
"Chlorthal-Monomethyl","CHLORTHAL-MONOMETHYL"
"Chromium","CHROMIUM"
"Chrysene","CHRYSENE"
"Cinerin I","CINERIN I"
"cis-1,2-Dichloroethylene","CIS-1,2-DICHLOROETHYLENE"
"cis-Chlordane","CIS-CHLORDANE"
"cis-Nonachlor","CIS-NONACHLOR"
"Clomazone","CLOMAZONE"
"Clopyralid","CLOPYRALID"
"Clothianidin","CLOTHIANIDIN"
"Cobalt","COBALT"
"Color","COLOR"
"Colored dissolved organic matter (CDOM)","COLORED DISSOLVED ORGANIC MATTER (CDOM)"
"Conductivity","CONDUCTIVITY"
"Copper","COPPER"
"Coumaphos","COUMAPHOS"
"Creosote","CREOSOTE"
"Crotoxyphos","CROTOXYPHOS"
"Cumene","CUMENE"
"Cyanazine","CYANAZINE"
"Cyanide","CYANIDE"
"Cyanide, available","CYANIDE, AVAILABLE"
"Cyazofamid","CYAZOFAMID"
"Cycloate","CYCLOATE"
"Cyclohexane","CYCLOHEXANE"
"Cyfluthrin","CYFLUTHRIN"
"Cylindrospermopsin","CYLINDROSPERMOPSIN"
"Cymene","CYMENE"
"Cyprodinil","CYPRODINIL"
"Dalapon","DALAPON"
"Deethylatrazine","DEETHYLATRAZINE"
"Deltamethrin","DELTAMETHRIN"
"Demeton","DEMETON"
"Deuterium/Hydrogen ratio","DEUTERIUM/HYDROGEN RATIO"
"Di(2-ethylhexyl) adipate","DI(2-ETHYLHEXYL) ADIPATE"
"Diallate","DIALLATE"
"Diazinon","DIAZINON"
"Dibenz[a,h]anthracene","DIBENZ[A,H]ANTHRACENE"
"Dibenzofuran","DIBENZOFURAN"
"Dibenzothiophene","DIBENZOTHIOPHENE"
"Dibutyl phthalate","DIBUTYL PHTHALATE"
"Dicamba","DICAMBA"
"Dichlobenil","DICHLOBENIL"
"Dichlofenthion","DICHLOFENTHION"
"Dichlorobromomethane","DICHLOROBROMOMETHANE"
"Dichloroethane","DICHLOROETHANE"
"Dichlorprop","DICHLORPROP"
"Dichlorvos","DICHLORVOS"
"Dicofol","DICOFOL"
"Dicrotophos","DICROTOPHOS"
"Dieldrin","DIELDRIN"
"Diesel fuel","DIESEL FUEL"
"Diethyl phthalate","DIETHYL PHTHALATE"
"Diflubenzuron","DIFLUBENZURON"
"Dimethoate","DIMETHOATE"
"Dimethomorph","DIMETHOMORPH"
"Dimethyl phthalate","DIMETHYL PHTHALATE"
"Dinitro-o-cresol","DINITRO-O-CRESOL"
"Dinitrotoluene","DINITROTOLUENE"
"Di-n-octyl phthalate","DI-N-OCTYL PHTHALATE"
"Dinoseb","DINOSEB"
"Dinotefuran","DINOTEFURAN"
"Dioxathion","DIOXATHION"
"Diphenamid","DIPHENAMID"
"Diquat","DIQUAT"
"Dissolved oxygen","DISSOLVED OXYGEN"
"Dissolved oxygen saturation","DISSOLVED OXYGEN SATURATION"
"Disulfoton","DISULFOTON"
"Disulfoton sulfone","DISULFOTON SULFONE"
"Dithiopyr","DITHIOPYR"
"Diuron","DIURON"
"Dodecylbenzene","DODECYLBENZENE"
"Endosulfan","ENDOSULFAN"
"Endosulfan sulfate","ENDOSULFAN SULFATE"
"Endothall","ENDOTHALL"
"Endrin","ENDRIN"
"Endrin aldehyde","ENDRIN ALDEHYDE"
"Endrin ketone","ENDRIN KETONE"
"Enterococcus","ENTEROCOCCUS"
"Esfenvalerate","ESFENVALERATE"
"Ethalfluralin","ETHALFLURALIN"
"Ethanol","ETHANOL"
"Ethion","ETHION"
"Ethoprop","ETHOPROP"
"Ethylbenzene","ETHYLBENZENE"
"Ethylene","ETHYLENE"
"Ethylene glycol","ETHYLENE GLYCOL"
"Ethylene thiourea","ETHYLENE THIOUREA"
"Ethyl ether","ETHYL ETHER"
"Etofenprox","ETOFENPROX"
"Europium","EUROPIUM"
"Famphur","FAMPHUR"
"Fecal Coliform","FECAL COLIFORM"
"Fenamidone","FENAMIDONE"
"Fenamiphos","FENAMIPHOS"
"Fenhexamid","FENHEXAMID"
"Fenitrothion","FENITROTHION"
"Fenpropathrin","FENPROPATHRIN"
"Fenpyroximate","FENPYROXIMATE"
"Fensulfothion","FENSULFOTHION"
"Fenthion","FENTHION"
"Fenuron","FENURON"
"Fenvalerate","FENVALERATE"
"Fipronil","FIPRONIL"
"Fipronil Desulfinyl","FIPRONIL DESULFINYL"
"Fipronil Sulfide","FIPRONIL SULFIDE"
"Fipronil Sulfone","FIPRONIL SULFONE"
"Fluazinam","FLUAZINAM"
"Flubendiamide","FLUBENDIAMIDE"
"Flumetsulam","FLUMETSULAM"
"Flumioxazin","FLUMIOXAZIN"
"Fluometuron","FLUOMETURON"
"Fluopicolide","FLUOPICOLIDE"
"Fluoranthene","FLUORANTHENE"
"Fluorene","FLUORENE"
"Fluoride","FLUORIDE"
"Flutolanil","FLUTOLANIL"
"Fluvalinate","FLUVALINATE"
"Fonofos","FONOFOS"
"Formaldehyde","FORMALDEHYDE"
"Formic acid","FORMIC ACID"
"Gallium","GALLIUM"
".gamma.-Chlordene",".GAMMA.-CHLORDENE"
"Glufosinate","GLUFOSINATE"
"Glyphosate","GLYPHOSATE"
"Gold","GOLD"
"Halosulfuron-methyl","HALOSULFURON-METHYL"
"Heptachlor","HEPTACHLOR"
"Heptachlor epoxide","HEPTACHLOR EPOXIDE"
"Hexachlorobenzene","HEXACHLOROBENZENE"
"Hexachlorobutadiene","HEXACHLOROBUTADIENE"
"Hexachlorocyclohexane","HEXACHLOROCYCLOHEXANE"
"Hexachlorocyclopentadiene","HEXACHLOROCYCLOPENTADIENE"
"Hexachloroethane","HEXACHLOROETHANE"
"Hexachlorophene","HEXACHLOROPHENE"
"Hexamethylphosphoramide","HEXAMETHYLPHOSPHORAMIDE"
"Hexane","HEXANE"
"Hexazinone","HEXAZINONE"
"Holmium","HOLMIUM"
"Hydrazine","HYDRAZINE"
"Hydrocarbons","HYDROCARBONS"
"Hydrogen sulfide","HYDROGEN SULFIDE"
"Hydroquinone","HYDROQUINONE"
"Hydroxide","HYDROXIDE"
"Imazalil","IMAZALIL"
"Imazamox","IMAZAMOX"
"Imazaquin","IMAZAQUIN"
"Imazethapyr","IMAZETHAPYR"
"Imidacloprid","IMIDACLOPRID"
"Imidacloprid-olefin","IMIDACLOPRID-OLEFIN"
"Imidacloprid-urea","IMIDACLOPRID-UREA"
"Indeno[1,2,3-cd]pyrene","INDENO[1,2,3-CD]PYRENE"
"Indoxacarb","INDOXACARB"
"Inorganic carbon","INORGANIC CARBON"
"Iprodione","IPRODIONE"
"Iron","IRON"
"Isophorone","ISOPHORONE"
"Isopropanol","ISOPROPANOL"
"Isopropyl ether","ISOPROPYL ETHER"
"Isosafrole","ISOSAFROLE"
"Isoxaben","ISOXABEN"
"Jasmolin I","JASMOLIN I"
"Kjeldahl nitrogen","KJELDAHL NITROGEN"
"Kresoxim-methyl","KRESOXIM-METHYL"
"Lanthanum","LANTHANUM"
"Lead","LEAD"
"Leptophos","LEPTOPHOS"
"Light attenuation coefficient","LIGHT ATTENUATION COEFFICIENT"
"Lindane","LINDANE"
"Linuron","LINURON"
"Lithium","LITHIUM"
"Magnesium","MAGNESIUM"
"Malathion","MALATHION"
"Manganese","MANGANESE"
"MCPA","MCPA"
"MCPB","MCPB"
"m-Cresol","M-CRESOL"
"m-Dichlorobenzene","M-DICHLOROBENZENE"
"m-Dinitrobenzene","M-DINITROBENZENE"
"Mercury","MERCURY"
"Merphos","MERPHOS"
"Metalaxyl","METALAXYL"
"Methacrylonitrile","METHACRYLONITRILE"
"Methamidophos","METHAMIDOPHOS"
"Methanol","METHANOL"
"Methanone, bis(4-chlorophenyl)-","METHANONE, BIS(4-CHLOROPHENYL)-"
"Methidathion","METHIDATHION"
"Methiocarb","METHIOCARB"
"Methomyl","METHOMYL"
"Methoxychlor","METHOXYCHLOR"
"Methoxyfenozide","METHOXYFENOZIDE"
"Methyl bromide","METHYL BROMIDE"
"Methylene chloride","METHYLENE CHLORIDE"
"Methyl ethyl ketone","METHYL ETHYL KETONE"
"Methyl iodide","METHYL IODIDE"
"Methyl isobutyl ketone","METHYL ISOBUTYL KETONE"
"Methyl methacrylate","METHYL METHACRYLATE"
"Methyl paraoxon","METHYL PARAOXON"
"Methyl parathion","METHYL PARATHION"
"Metolachlor","METOLACHLOR"
"Metribuzin","METRIBUZIN"
"Metsulfuron","METSULFURON"
"Mevinphos","MEVINPHOS"
"Mirex","MIREX"
"Molinate","MOLINATE"
"Molybdenum","MOLYBDENUM"
"Monuron","MONURON"
"m-Xylene","M-XYLENE"
"Myclobutanil","MYCLOBUTANIL"
"Naled","NALED"
"Naphthalene","NAPHTHALENE"
"Napropamide","NAPROPAMIDE"
"Neburon","NEBURON"
"Neodymium","NEODYMIUM"
"Nickel","NICKEL"
"Nicosulfuron","NICOSULFURON"
"Niobium","NIOBIUM"
"Nitrate","NITRATE"
"Nitrite","NITRITE"
"Nitrobenzene","NITROBENZENE"
"Nitrofen","NITROFEN"
"Nitrogen","NITROGEN"
"Nitroglycerin","NITROGLYCERIN"
"N,N-Diethyl-m-toluamide","N,N-DIETHYL-M-TOLUAMIDE"
"N-Nitrosodiethylamine","N-NITROSODIETHYLAMINE"
"N-Nitrosodimethylamine","N-NITROSODIMETHYLAMINE"
"N-Nitrosodiphenylamine","N-NITROSODIPHENYLAMINE"
"N-Nitrosomorpholine","N-NITROSOMORPHOLINE"
"N-Nitrosopiperidine","N-NITROSOPIPERIDINE"
"Nonylphenol","NONYLPHENOL"
"Norflurazon","NORFLURAZON"
"Novaluron","NOVALURON"
"n-Propylbenzene","N-PROPYLBENZENE"
"o-Chlorotoluene","O-CHLOROTOLUENE"
"Octachlorostyrene","OCTACHLOROSTYRENE"
"o-Dichlorobenzene","O-DICHLOROBENZENE"
"O-Ethyl O-(p-nitrophenyl) phenylphosphonothioate","O-ETHYL O-(P-NITROPHENYL) PHENYLPHOSPHONOTHIOATE"
"Oil and grease","OIL AND GREASE"
"Oil and Grease","OIL AND GREASE"
"Oryzalin","ORYZALIN"
"Osmotic pressure","OSMOTIC PRESSURE"
"o-Toluidine","O-TOLUIDINE"
"Oxadiazon","OXADIAZON"
"Oxychlordane","OXYCHLORDANE"
"Oxyfluorfen","OXYFLUORFEN"
"Oxygen-18/Oxygen-16 ratio","OXYGEN-18/OXYGEN-16 RATIO"
"o-Xylene","O-XYLENE"
"Oxytetracycline","OXYTETRACYCLINE"
"Paraquat","PARAQUAT"
"Parathion","PARATHION"
"p-Chlorotoluene","P-CHLOROTOLUENE"
"p-Cymene","P-CYMENE"
"p-Dichlorobenzene","P-DICHLOROBENZENE"
"Pebulate","PEBULATE"
"Pendimethalin","PENDIMETHALIN"
"Penoxsulam","PENOXSULAM"
"Pentachlorobenzene","PENTACHLOROBENZENE"
"Pentachloroethane","PENTACHLOROETHANE"
"Penthiopyrad","PENTHIOPYRAD"
"Perchlorate","PERCHLORATE"
"Permethrin","PERMETHRIN"
"pH","PH"
"PH","PH"
"Phenanthrene","PHENANTHRENE"
"Phenol","PHENOL"
"Phenothrin","PHENOTHRIN"
"Pheophytin a","PHEOPHYTIN A"
"Phorate","PHORATE"
"Phosmet","PHOSMET"
"Phosphamidon","PHOSPHAMIDON"
"Phosphate","PHOSPHATE"
"Phosphorus","PHOSPHORUS"
"Photomirex","PHOTOMIREX"
"Phthalic anhydride","PHTHALIC ANHYDRIDE"
"Picloram","PICLORAM"
"Picric acid","PICRIC ACID"
"Piperonyl butoxide","PIPERONYL BUTOXIDE"
"Polybrominated biphenyls","POLYBROMINATED BIPHENYLS"
"Polybrominated diphenyl ethers","POLYBROMINATED DIPHENYL ETHERS"
"Potassium","POTASSIUM"
"p-Phenylenediamine","P-PHENYLENEDIAMINE"
"Prallethrin","PRALLETHRIN"
"Prodiamine","PRODIAMINE"
"Profenofos","PROFENOFOS"
"Prometon","PROMETON"
"Prometryn","PROMETRYN"
"Pronamide","PRONAMIDE"
"Propachlor","PROPACHLOR"
"Propanil","PROPANIL"
"Propargite","PROPARGITE"
"Propazine","PROPAZINE"
"Propetamphos","PROPETAMPHOS"
"Propham","PROPHAM"
"Propiconazole","PROPICONAZOLE"
"Propoxur","PROPOXUR"
"Propylene glycol","PROPYLENE GLYCOL"
"Prothiofos","PROTHIOFOS"
"p-Xylene","P-XYLENE"
"Pyraclostrobin","PYRACLOSTROBIN"
"Pyrene","PYRENE"
"Pyrethrins","PYRETHRINS"
"Pyridaben","PYRIDABEN"
"Pyridine","PYRIDINE"
"Pyrimethanil","PYRIMETHANIL"
"Pyriproxyfen","PYRIPROXYFEN"
"Quinoline","QUINOLINE"
"Quinoxyfen","QUINOXYFEN"
"Radium","RADIUM"
"Resmethrin","RESMETHRIN"
"Ronnel","RONNEL"
"Safrole","SAFROLE"
"Salinity","SALINITY"
"Scandium","SCANDIUM"
"Secbumeton","SECBUMETON"
"sec-Butylbenzene","SEC-BUTYLBENZENE"
"Sediment","SEDIMENT"
"Sediment Oxygen Demand","SEDIMENT OXYGEN DEMAND"
"Selenium","SELENIUM"
"Siduron","SIDURON"
"Silica","SILICA"
"Silicate","SILICATE"
"Silver","SILVER"
"Simazine","SIMAZINE"
"Simetryn","SIMETRYN"
"Sodium","SODIUM"
"Specific conductivity","SPECIFIC CONDUCTIVITY"
"Strontium","STRONTIUM"
"Styrene","STYRENE"
"Styrene oxide","STYRENE OXIDE"
"Sulfate","SULFATE"
"Sulfometuron methyl","SULFOMETURON METHYL"
"Sulfosulfuron","SULFOSULFURON"
"Sulfotep","SULFOTEP"
"Sulfur","SULFUR"
"Sulprofos","SULPROFOS"
"Tantalum","TANTALUM"
"Tebuconazole","TEBUCONAZOLE"
"Tebufenozide","TEBUFENOZIDE"
"Tebuthiuron","TEBUTHIURON"
"Tefluthrin","TEFLUTHRIN"
"Temephos","TEMEPHOS"
"Temperature","TEMPERATURE"
"Terbacil","TERBACIL"
"Terbufos","TERBUFOS"
"Terbuthylazine","TERBUTHYLAZINE"
"Terbutryn","TERBUTRYN"
"tert-Amyl methyl ether","TERT-AMYL METHYL ETHER"
"tert-Butylbenzene","TERT-BUTYLBENZENE"
"Tetrachloroethylene","TETRACHLOROETHYLENE"
"Tetrachlorvinphos","TETRACHLORVINPHOS"
"Tetraconazole","TETRACONAZOLE"
"Tetradifon","TETRADIFON"
"Tetramethrin","TETRAMETHRIN"
"Thallium","THALLIUM"
"Thiabendazole","THIABENDAZOLE"
"Thiacloprid","THIACLOPRID"
"Thiamethoxam","THIAMETHOXAM"
"Thiobencarb","THIOBENCARB"
"Thionazin","THIONAZIN"
"Tin","TIN"
"Titanium","TITANIUM"
"Toluene","TOLUENE"
"Total Coliform","TOTAL COLIFORM"
"Toxaphene","TOXAPHENE"
"trans-1,2-Dichloroethylene","TRANS-1,2-DICHLOROETHYLENE"
"trans-Chlordane","TRANS-CHLORDANE"
"trans-Nonachlor","TRANS-NONACHLOR"
"Triallate","TRIALLATE"
"Tribenuron-methyl","TRIBENURON-METHYL"
"Tribufos","TRIBUFOS"
"Tributyltin","TRIBUTYLTIN"
"Trichlorfon","TRICHLORFON"
"Trichloronate","TRICHLORONATE"
"Triclopyr","TRICLOPYR"
"Trifloxystrobin","TRIFLOXYSTROBIN"
"Triflumizole","TRIFLUMIZOLE"
"Trifluralin","TRIFLURALIN"
"Tritium","TRITIUM"
"Turbidity","TURBIDITY"
"Uranium","URANIUM"
"Urea","UREA"
"Vanadium","VANADIUM"
"Vernolate","VERNOLATE"
"Vinclozolin","VINCLOZOLIN"
"Vinyl acetate","VINYL ACETATE"
"Vinyl bromide","VINYL BROMIDE"
"Vinyl chloride","VINYL CHLORIDE"
"Viruses (enteric)","VIRUSES (ENTERIC)"
"Xylene","XYLENE"
"Ytterbium","YTTERBIUM"
"Yttrium","YTTRIUM"
"Zinc","ZINC"
"Ziram","ZIRAM"
